Unnamed: 0,event_ID,text,date,Year,people_regex,people_spacy_model,tailored_entities,People,predicted_label,score
1,544,"The Dean of Windsor than read some appropriate prayers . The ceremony concluded by the choir singing an anthem , "" Blessed are the dead which die in the Lord . """,1870-12-15,1870,The Dean of Windsor | The | Blessed | Lord,The Dean of Windsor,"Dean of Windsor | "" Blessed",Dean of Windsor,untitled,0.5045895576477051
1,544,"The Dean of Windsor than read some appropriate prayers . The ceremony concluded by the choir singing an anthem , "" Blessed are the dead which die in the Lord . """,1870-12-15,1870,The Dean of Windsor | The | Blessed | Lord,The Dean of Windsor,"Dean of Windsor | "" Blessed",""" Blessed",untitled,0.5045895576477051
2,607,"Prince and Princess Christian returned to Frogmore on Thursday from visiting the Earl and Countess Vane , at Wynyard - park , Stockton .",1870-12-26,1870,Prince | Princess Christian | Frogmore | Thursday | Earl | Countess Vane | Wynyard | Stockton,Countess Vane|Stockton,Prince | Princess Christian | Countess Vane,Prince,aristocracy,0.4122970700263977
2,607,"Prince and Princess Christian returned to Frogmore on Thursday from visiting the Earl and Countess Vane , at Wynyard - park , Stockton .",1870-12-26,1870,Prince | Princess Christian | Frogmore | Thursday | Earl | Countess Vane | Wynyard | Stockton,Countess Vane|Stockton,Prince | Princess Christian | Countess Vane,Princess Christian,aristocracy,0.4122970700263977
2,607,"Prince and Princess Christian returned to Frogmore on Thursday from visiting the Earl and Countess Vane , at Wynyard - park , Stockton .",1870-12-26,1870,Prince | Princess Christian | Frogmore | Thursday | Earl | Countess Vane | Wynyard | Stockton,Countess Vane|Stockton,Prince | Princess Christian | Countess Vane,Countess Vane,aristocracy,0.4122970700263977
3,227,"Her Majesty and their Royal Highnesses Princess Louise , Prince Arthur , and Princess Beatrice , attended Divine Ser vice at Osborne this morning .",1870-08-01,1870,Her Majesty | Royal Highnesses Princess Louise | Prince Arthur | Princess Beatrice | Divine Ser | Osborne,Arthur,Her Majesty | Royal Highnesses Princess Louise | Prince Arthur | Princess Beatrice,Her Majesty,royals,0.9319044947624207
3,227,"Her Majesty and their Royal Highnesses Princess Louise , Prince Arthur , and Princess Beatrice , attended Divine Ser vice at Osborne this morning .",1870-08-01,1870,Her Majesty | Royal Highnesses Princess Louise | Prince Arthur | Princess Beatrice | Divine Ser | Osborne,Arthur,Her Majesty | Royal Highnesses Princess Louise | Prince Arthur | Princess Beatrice,Royal Highnesses Princess Louise,royals,0.9319044947624207
3,227,"Her Majesty and their Royal Highnesses Princess Louise , Prince Arthur , and Princess Beatrice , attended Divine Ser vice at Osborne this morning .",1870-08-01,1870,Her Majesty | Royal Highnesses Princess Louise | Prince Arthur | Princess Beatrice | Divine Ser | Osborne,Arthur,Her Majesty | Royal Highnesses Princess Louise | Prince Arthur | Princess Beatrice,Prince Arthur,royals,0.9319044947624207
3,227,"Her Majesty and their Royal Highnesses Princess Louise , Prince Arthur , and Princess Beatrice , attended Divine Ser vice at Osborne this morning .",1870-08-01,1870,Her Majesty | Royal Highnesses Princess Louise | Prince Arthur | Princess Beatrice | Divine Ser | Osborne,Arthur,Her Majesty | Royal Highnesses Princess Louise | Prince Arthur | Princess Beatrice,Princess Beatrice,royals,0.9319044947624207
4,688,"The Princess of Wales , attended by the Marchioness of Carmarthen , drove out yesterday .",1870-02-08,1870,The Princess of Wales | Marchioness of Carmarthen,,Princess of Wales | Marchioness of Carmarthen,Princess of Wales,aristocracy,0.8386436104774475
